
2026-07-01 14:35:40,448 | INFO     | Main | line:123 | conversation pane created forUnknown Node
2026-07-01 14:35:40,463 | INFO     | Networks | line:278 | backend chat instance made
2026-07-01 14:35:57,375 | INFO     | Main | line:177 | establishing connection
2026-07-01 14:35:57,375 | INFO     | Main | line:186 | connection already established
2026-07-01 14:35:58,724 | INFO     | Main | line:177 | establishing connection
2026-07-01 14:35:58,724 | INFO     | Main | line:186 | connection already established

2026-07-01 14:36:50,461 | INFO     | Main | line:76 | building setup screen
2026-07-01 14:36:50,462 | INFO     | Main | line:134 | building chat page
2026-07-01 14:36:50,481 | INFO     | Main | line:38 | Starting encryption processes
2026-07-01 14:36:51,771 | INFO     | Main | line:43 | starting the frontend
2026-07-01 14:36:54,164 | INFO     | Main | line:110 | Name selected: Iubiyo
2026-07-01 14:36:54,164 | INFO     | Main | line:111 | redirecting to the chat page
2026-07-01 14:36:54,236 | INFO     | Networks | line:358 | Starting the backend server.
2026-07-01 14:36:54,237 | INFO     | Networks | line:86 | Starting Broadcast
2026-07-01 14:36:54,238 | INFO     | Networks | line:107 | starting listener
2026-07-01 14:36:57,099 | INFO     | Main | line:229 | Initiating connection handshake to Ankit (10.103.204.141:57160)
2026-07-01 14:36:57,100 | INFO     | Networks | line:227 | initiating tcp request
2026-07-01 14:36:57,101 | INFO     | Networks | line:156 | TCP connection request received
2026-07-01 14:37:13,967 | INFO     | Main | line:229 | Initiating connection handshake to Iubiyo (10.103.204.141:53596)
2026-07-01 14:37:13,967 | INFO     | Networks | line:227 | initiating tcp request
2026-07-01 14:37:13,968 | INFO     | Networks | line:156 | TCP connection request received
2026-07-01 14:37:26,534 | INFO     | Main | line:123 | conversation pane created forAnkit
2026-07-01 14:37:26,533 | INFO     | Main | line:177 | establishing connection
2026-07-01 14:37:26,579 | INFO     | Main | line:177 | establishing connection
2026-07-01 14:37:26,580 | INFO     | Main | line:186 | connection already established
2026-07-01 14:37:26,580 | INFO     | Networks | line:278 | backend chat instance made
2026-07-01 14:37:26,646 | INFO     | Main | line:177 | establishing connection
2026-07-01 14:37:26,647 | INFO     | Main | line:123 | conversation pane created forIubiyo
2026-07-01 14:37:26,655 | INFO     | Networks | line:278 | backend chat instance made
2026-07-01 14:38:12,247 | INFO     | Networks | line:313 | backend chat instance CLOSED
2026-07-01 14:38:12,247 | INFO     | Networks | line:313 | backend chat instance CLOSED
2026-07-01 14:38:12,247 | INFO     | Networks | line:218 | Closing receive_tcp
2026-07-01 14:38:12,248 | INFO     | Networks | line:95 | shutting broadcast
2026-07-01 14:38:12,248 | INFO     | Networks | line:137 | Closing listener
2026-07-01 14:38:12,250 | INFO     | Networks | line:218 | Closing receive_tcp
2026-07-01 14:38:12,250 | INFO     | Networks | line:368 | [Shutdown]: Background engine tasks canceled.
2026-07-01 14:38:22,387 | INFO     | Networks | line:227 | initiating tcp request
2026-07-01 14:38:22,387 | INFO     | Main | line:229 | Initiating connection handshake to Iubiyo (10.103.204.141:53596)
2026-07-01 14:38:22,389 | INFO     | Networks | line:156 | TCP connection request received
2026-07-01 14:38:23,940 | INFO     | Main | line:177 | establishing connection
2026-07-01 14:38:23,940 | INFO     | Main | line:123 | conversation pane created forUjjwal
2026-07-01 14:38:23,959 | INFO     | Main | line:177 | establishing connection
2026-07-01 14:38:23,959 | INFO     | Networks | line:278 | backend chat instance made
2026-07-01 14:38:23,959 | INFO     | Main | line:186 | connection already established
2026-07-01 14:38:24,033 | INFO     | Main | line:177 | establishing connection
2026-07-01 14:38:24,033 | INFO     | Main | line:123 | conversation pane created forUnknown Node
2026-07-01 14:38:24,045 | INFO     | Networks | line:278 | backend chat instance made
2026-07-01 14:38:25,604 | INFO     | Main | line:177 | establishing connection
2026-07-01 14:38:25,604 | INFO     | Main | line:186 | connection already established
2026-07-01 14:38:26,384 | INFO     | Main | line:177 | establishing connection
2026-07-01 14:38:26,384 | INFO     | Main | line:186 | connection already established
2026-07-01 14:38:28,801 | INFO     | Main | line:177 | establishing connection
2026-07-01 14:38:28,802 | INFO     | Main | line:186 | connection already established
2026-07-01 14:38:29,628 | INFO     | Main | line:177 | establishing connection
2026-07-01 14:38:29,628 | INFO     | Main | line:186 | connection already established
2026-07-01 14:39:09,516 | INFO     | Networks | line:95 | shutting broadcast
2026-07-01 14:39:09,516 | INFO     | Networks | line:313 | backend chat instance CLOSED
2026-07-01 14:39:09,516 | INFO     | Networks | line:137 | Closing listener
2026-07-01 14:39:09,517 | INFO     | Networks | line:313 | backend chat instance CLOSED
2026-07-01 14:39:09,518 | INFO     | Networks | line:368 | [Shutdown]: Background engine tasks canceled.
2026-07-01 14:39:10,053 | INFO     | Networks | line:313 | backend chat instance CLOSED
2026-07-01 14:39:10,054 | INFO     | Networks | line:137 | Closing listener
2026-07-01 14:39:10,055 | INFO     | Networks | line:313 | backend chat instance CLOSED
2026-07-01 14:39:10,055 | INFO     | Networks | line:95 | shutting broadcast
2026-07-01 14:39:10,056 | INFO     | Networks | line:218 | Closing receive_tcp
2026-07-01 14:39:10,056 | INFO     | Networks | line:368 | [Shutdown]: Background engine tasks canceled.
2026-07-01 14:39:10,057 | INFO     | Networks | line:218 | Closing receive_tcp

2026-07-01 21:57:13,347 | INFO     | Main | line:76 | building setup screen
2026-07-01 21:57:13,348 | INFO     | Main | line:134 | building chat page
2026-07-01 21:57:13,364 | INFO     | Main | line:38 | Starting encryption processes
2026-07-01 21:57:14,873 | INFO     | Main | line:43 | starting the frontend
2026-07-01 21:57:23,213 | INFO     | Main | line:111 | redirecting to the chat page
2026-07-01 21:57:23,213 | INFO     | Main | line:110 | Name selected: Ujjwal
2026-07-01 21:57:23,282 | INFO     | Networks | line:358 | Starting the backend server.
2026-07-01 21:57:23,282 | INFO     | Networks | line:86 | Starting Broadcast
2026-07-01 21:57:23,283 | INFO     | Networks | line:107 | starting listener

2026-07-01 21:57:31,627 | INFO     | Main | line:76 | building setup screen
2026-07-01 21:57:31,628 | INFO     | Main | line:134 | building chat page
2026-07-01 21:57:31,646 | INFO     | Main | line:38 | Starting encryption processes
2026-07-01 21:57:33,126 | INFO     | Main | line:43 | starting the frontend
2026-07-01 21:57:34,587 | INFO     | Main | line:110 | Name selected: P
2026-07-01 21:57:34,587 | INFO     | Main | line:111 | redirecting to the chat page
2026-07-01 21:57:34,650 | INFO     | Networks | line:358 | Starting the backend server.
2026-07-01 21:57:34,650 | INFO     | Networks | line:86 | Starting Broadcast
2026-07-01 21:57:34,651 | INFO     | Networks | line:107 | starting listener
2026-07-01 21:57:41,561 | INFO     | Main | line:230 | Initiating connection handshake to P (192.168.1.73:50194)
2026-07-01 21:57:41,561 | INFO     | Networks | line:227 | initiating tcp request
2026-07-01 21:57:41,563 | INFO     | Networks | line:156 | TCP connection request received
2026-07-01 21:57:44,834 | INFO     | Main | line:177 | establishing connection
2026-07-01 21:57:44,834 | INFO     | Main | line:123 | conversation pane created forUjjwal
2026-07-01 21:57:44,899 | INFO     | Main | line:177 | establishing connection
2026-07-01 21:57:44,900 | INFO     | Main | line:186 | connection already established
2026-07-01 21:57:44,900 | INFO     | Networks | line:278 | backend chat instance made
2026-07-01 21:57:44,968 | INFO     | Main | line:177 | establishing connection
2026-07-01 21:57:44,969 | INFO     | Main | line:123 | conversation pane created forP
2026-07-01 21:57:44,984 | INFO     | Networks | line:278 | backend chat instance made
2026-07-01 21:57:47,867 | INFO     | Main | line:177 | establishing connection
2026-07-01 21:57:47,868 | INFO     | Main | line:186 | connection already established
2026-07-01 21:57:53,936 | INFO     | Main | line:186 | connection already established
2026-07-01 21:57:53,936 | INFO     | Main | line:177 | establishing connection
2026-07-01 21:59:04,956 | INFO     | Networks | line:95 | shutting broadcast
2026-07-01 21:59:04,957 | INFO     | Networks | line:137 | Closing listener
2026-07-01 21:59:04,957 | INFO     | Networks | line:313 | backend chat instance CLOSED
2026-07-01 21:59:04,957 | INFO     | Networks | line:368 | [Shutdown]: Background engine tasks canceled.
2026-07-01 21:59:04,958 | INFO     | Networks | line:218 | Closing receive_tcp
2026-07-01 21:59:07,109 | INFO     | Networks | line:95 | shutting broadcast
2026-07-01 21:59:07,110 | INFO     | Networks | line:137 | Closing listener
2026-07-01 21:59:07,110 | INFO     | Networks | line:313 | backend chat instance CLOSED
2026-07-01 21:59:07,110 | INFO     | Networks | line:368 | [Shutdown]: Background engine tasks canceled.

2026-07-01 21:59:09,109 | INFO     | Main | line:134 | building chat page
2026-07-01 21:59:09,107 | INFO     | Main | line:76 | building setup screen
2026-07-01 21:59:09,124 | INFO     | Main | line:38 | Starting encryption processes
2026-07-01 21:59:11,422 | INFO     | Main | line:43 | starting the frontend
2026-07-01 21:59:13,107 | INFO     | Main | line:110 | Name selected: Ujj
2026-07-01 21:59:13,108 | INFO     | Main | line:111 | redirecting to the chat page
2026-07-01 21:59:13,174 | INFO     | Networks | line:358 | Starting the backend server.
2026-07-01 21:59:13,174 | INFO     | Networks | line:86 | Starting Broadcast
2026-07-01 21:59:13,175 | INFO     | Networks | line:107 | starting listener

2026-07-01 21:59:16,377 | INFO     | Main | line:76 | building setup screen
2026-07-01 21:59:16,378 | INFO     | Main | line:134 | building chat page
2026-07-01 21:59:16,392 | INFO     | Main | line:38 | Starting encryption processes
2026-07-01 21:59:18,070 | INFO     | Main | line:43 | starting the frontend
2026-07-01 21:59:19,363 | INFO     | Main | line:110 | Name selected: Ll
2026-07-01 21:59:19,363 | INFO     | Main | line:111 | redirecting to the chat page
2026-07-01 21:59:19,430 | INFO     | Networks | line:86 | Starting Broadcast
2026-07-01 21:59:19,429 | INFO     | Networks | line:358 | Starting the backend server.
2026-07-01 21:59:19,431 | INFO     | Networks | line:107 | starting listener
2026-07-01 21:59:23,593 | INFO     | Networks | line:95 | shutting broadcast
2026-07-01 21:59:23,594 | INFO     | Networks | line:137 | Closing listener
2026-07-01 21:59:23,594 | INFO     | Networks | line:368 | [Shutdown]: Background engine tasks canceled.

2026-07-01 22:00:37,649 | INFO     | Main | line:76 | building setup screen
2026-07-01 22:00:37,650 | INFO     | Main | line:134 | building chat page
2026-07-01 22:00:37,665 | INFO     | Main | line:38 | Starting encryption processes
2026-07-01 22:00:38,685 | INFO     | Main | line:43 | starting the frontend
2026-07-01 22:00:40,032 | INFO     | Main | line:110 | Name selected: G
2026-07-01 22:00:40,032 | INFO     | Main | line:111 | redirecting to the chat page
2026-07-01 22:00:40,100 | INFO     | Networks | line:358 | Starting the backend server.
2026-07-01 22:00:40,101 | INFO     | Networks | line:86 | Starting Broadcast
2026-07-01 22:00:40,102 | INFO     | Networks | line:107 | starting listener
2026-07-01 22:00:42,355 | INFO     | Networks | line:95 | shutting broadcast
2026-07-01 22:00:42,356 | INFO     | Networks | line:137 | Closing listener
2026-07-01 22:00:42,356 | INFO     | Networks | line:368 | [Shutdown]: Background engine tasks canceled.

2026-07-01 22:00:47,530 | INFO     | Main | line:76 | building setup screen
2026-07-01 22:00:47,531 | INFO     | Main | line:134 | building chat page
2026-07-01 22:00:47,546 | INFO     | Main | line:38 | Starting encryption processes
2026-07-01 22:00:47,720 | INFO     | Main | line:43 | starting the frontend
2026-07-01 22:00:48,952 | INFO     | Main | line:110 | Name selected: Nutj
2026-07-01 22:00:48,952 | INFO     | Main | line:111 | redirecting to the chat page
2026-07-01 22:00:49,022 | INFO     | Networks | line:358 | Starting the backend server.
2026-07-01 22:00:49,023 | INFO     | Networks | line:86 | Starting Broadcast
2026-07-01 22:00:49,024 | INFO     | Networks | line:107 | starting listener
2026-07-01 22:01:30,669 | INFO     | Networks | line:95 | shutting broadcast
2026-07-01 22:01:30,669 | INFO     | Networks | line:137 | Closing listener
2026-07-01 22:01:30,669 | INFO     | Networks | line:368 | [Shutdown]: Background engine tasks canceled.
2026-07-01 22:01:32,514 | INFO     | Networks | line:95 | shutting broadcast
2026-07-01 22:01:32,514 | INFO     | Networks | line:137 | Closing listener
2026-07-01 22:01:32,515 | INFO     | Networks | line:368 | [Shutdown]: Background engine tasks canceled.

2026-07-01 22:46:53,086 | INFO     | Main | line:76 | building setup screen
2026-07-01 22:46:53,086 | INFO     | Main | line:134 | building chat page
2026-07-01 22:46:53,095 | INFO     | Main | line:38 | Starting encryption processes
2026-07-01 22:46:54,726 | INFO     | Main | line:43 | starting the frontend

2026-07-01 22:47:00,586 | INFO     | Main | line:76 | building setup screen
2026-07-01 22:47:00,586 | INFO     | Main | line:134 | building chat page
2026-07-01 22:47:00,595 | INFO     | Main | line:38 | Starting encryption processes
2026-07-01 22:47:02,040 | INFO     | Main | line:43 | starting the frontend
2026-07-01 22:47:05,440 | INFO     | Main | line:110 | Name selected: Ujanv
2026-07-01 22:47:05,440 | INFO     | Main | line:111 | redirecting to the chat page
2026-07-01 22:47:05,481 | INFO     | Networks | line:86 | Starting Broadcast
d server.
2026-07-01 22:47:05,481 | INFO     | Networks | line:107 | starting listener
2026-07-01 22:47:09,015 | INFO     | Main | line:110 | Name selected: Aev
2026-07-01 22:47:09,015 | INFO     | Main | line:111 | redirecting to the chat page
2026-07-01 22:47:09,054 | INFO     | Networks | line:358 | Starting the backend server.
2026-07-01 22:47:09,055 | INFO     | Networks | line:86 | Starting Broadcast
2026-07-01 22:47:09,056 | INFO     | Networks | line:107 | starting listener
2026-07-01 22:47:12,649 | INFO     | Networks | line:227 | initiating tcp request
2026-07-01 22:47:12,651 | INFO     | Networks | line:156 | TCP connection request received
2026-07-01 22:47:12,648 | INFO     | Main | line:229 | Initiating connection handshake to Ujanv (192.168.1.73:52076)
2026-07-01 22:47:16,369 | INFO     | Main | line:177 | establishing connection
2026-07-01 22:47:16,369 | INFO     | Main | line:123 | conversation pane created forAev
2026-07-01 22:47:16,408 | INFO     | Main | line:177 | establishing connection
2026-07-01 22:47:16,408 | INFO     | Main | line:186 | connection already established
2026-07-01 22:47:16,408 | INFO     | Networks | line:278 | backend chat instance made
2026-07-01 22:47:16,463 | INFO     | Main | line:123 | conversation pane created forUjanv
2026-07-01 22:47:16,463 | INFO     | Main | line:177 | establishing connection
2026-07-01 22:47:16,469 | INFO     | Networks | line:278 | backend chat instance made
2026-07-01 23:00:56,150 | INFO     | Networks | line:95 | shutting broadcast
2026-07-01 23:00:56,150 | INFO     | Networks | line:137 | Closing listener
2026-07-01 23:00:56,150 | INFO     | Networks | line:313 | backend chat instance CLOSED
2026-07-01 23:00:56,150 | INFO     | Networks | line:368 | [Shutdown]: Background engine tasks canceled.
2026-07-01 23:00:56,151 | INFO     | Networks | line:218 | Closing receive_tcp
2026-07-01 23:00:58,950 | INFO     | Networks | line:313 | backend chat instance CLOSED
2026-07-01 23:00:58,950 | INFO     | Networks | line:137 | Closing listener
2026-07-01 23:00:58,950 | INFO     | Networks | line:95 | shutting broadcast
2026-07-01 23:00:58,950 | INFO     | Networks | line:368 | [Shutdown]: Background engine tasks canceled.

2026-07-01 23:01:04,325 | INFO     | Main | line:76 | building setup screen
2026-07-01 23:01:04,326 | INFO     | Main | line:134 | building chat page
2026-07-01 23:01:04,335 | INFO     | Main | line:38 | Starting encryption processes
2026-07-01 23:01:05,665 | INFO     | Main | line:43 | starting the frontend
2026-07-01 23:01:07,401 | INFO     | Main | line:110 | Name selected: Eqr
2026-07-01 23:01:07,401 | INFO     | Main | line:111 | redirecting to the chat page
2026-07-01 23:01:07,447 | INFO     | Networks | line:358 | Starting the backend server.
2026-07-01 23:01:07,447 | INFO     | Networks | line:86 | Starting Broadcast
2026-07-01 23:01:07,448 | INFO     | Networks | line:107 | starting listener

2026-07-01 23:01:14,705 | INFO     | Main | line:76 | building setup screen
2026-07-01 23:01:14,706 | INFO     | Main | line:134 | building chat page
2026-07-01 23:01:14,719 | INFO     | Main | line:38 | Starting encryption processes
2026-07-01 23:01:15,654 | INFO     | Main | line:43 | starting the frontend
2026-07-01 23:01:17,258 | INFO     | Main | line:110 | Name selected: Qevqev
2026-07-01 23:01:17,258 | INFO     | Main | line:111 | redirecting to the chat page
2026-07-01 23:01:17,308 | INFO     | Networks | line:358 | Starting the backend server.
2026-07-01 23:01:17,308 | INFO     | Networks | line:86 | Starting Broadcast
2026-07-01 23:01:17,309 | INFO     | Networks | line:107 | starting listener
2026-07-01 23:01:21,530 | INFO     | Main | line:230 | Initiating connection handshake to Eqr (192.168.1.73:63506)
2026-07-01 23:01:21,530 | INFO     | Networks | line:227 | initiating tcp request
2026-07-01 23:01:21,532 | INFO     | Networks | line:156 | TCP connection request received
2026-07-01 23:01:24,371 | INFO     | Main | line:177 | establishing connection
2026-07-01 23:01:24,371 | INFO     | Main | line:123 | conversation pane created for Qevqev
2026-07-01 23:01:24,420 | INFO     | Main | line:177 | establishing connection
2026-07-01 23:01:24,420 | INFO     | Main | line:186 | connection already established
2026-07-01 23:01:24,420 | INFO     | Networks | line:278 | backend chat instance made
2026-07-01 23:01:24,466 | INFO     | Main | line:177 | establishing connection
2026-07-01 23:01:24,466 | INFO     | Main | line:123 | conversation pane created for Eqr
2026-07-01 23:01:24,475 | INFO     | Networks | line:278 | backend chat instance made
2026-07-01 23:04:39,333 | INFO     | Networks | line:137 | Closing listener

2026-07-01 23:04:39,333 | INFO     | Networks | line:313 | backend chat instance CLOSED
2026-07-01 23:04:39,334 | INFO     | Networks | line:368 | [Shutdown]: Background engine tasks canceled.
2026-07-01 23:04:41,507 | INFO     | Networks | line:95 | shutting broadcast
2026-07-01 23:04:41,508 | INFO     | Networks | line:313 | backend chat instance CLOSED
2026-07-01 23:04:41,508 | INFO     | Networks | line:137 | Closing listener
2026-07-01 23:04:41,509 | INFO     | Networks | line:218 | Closing receive_tcp
2026-07-01 23:04:41,509 | INFO     | Networks | line:368 | [Shutdown]: Background engine tasks canceled.

2026-07-01 23:13:14,396 | INFO     | Main | line:78 | building setup screen
2026-07-01 23:13:14,396 | INFO     | Main | line:136 | building chat page
2026-07-01 23:13:14,407 | INFO     | Main | line:40 | Starting encryption processes
2026-07-01 23:13:15,654 | INFO     | Main | line:45 | starting the frontend

2026-07-01 23:13:21,383 | INFO     | Main | line:78 | building setup screen
2026-07-01 23:13:21,384 | INFO     | Main | line:136 | building chat page
2026-07-01 23:13:21,394 | INFO     | Main | line:40 | Starting encryption processes
2026-07-01 23:13:21,803 | INFO     | Main | line:45 | starting the frontend
2026-07-01 23:13:24,790 | INFO     | Main | line:112 | Name selected: Ujjwal
2026-07-01 23:13:24,790 | INFO     | Main | line:113 | redirecting to the chat page
2026-07-01 23:13:24,831 | INFO     | Networks | line:358 | Starting the backend server.
2026-07-01 23:13:24,832 | INFO     | Networks | line:86 | Starting Broadcast
2026-07-01 23:13:24,832 | INFO     | Networks | line:107 | starting listener
2026-07-01 23:13:31,227 | INFO     | Main | line:112 | Name selected: Prajwal
2026-07-01 23:13:31,227 | INFO     | Main | line:113 | redirecting to the chat page
2026-07-01 23:13:31,277 | INFO     | Networks | line:358 | Starting the backend server.
2026-07-01 23:13:31,277 | INFO     | Networks | line:86 | Starting Broadcast
2026-07-01 23:13:31,278 | INFO     | Networks | line:107 | starting listener
2026-07-01 23:13:35,306 | INFO     | Main | line:232 | Initiating connection handshake to Ujjwal (192.168.1.73:49943)
2026-07-01 23:13:35,306 | INFO     | Networks | line:227 | initiating tcp request
2026-07-01 23:13:35,308 | INFO     | Networks | line:156 | TCP connection request received
2026-07-01 23:13:38,327 | INFO     | Main | line:179 | establishing connection
2026-07-01 23:13:38,327 | INFO     | Main | line:125 | conversation pane created for Prajwal
2026-07-01 23:13:38,401 | INFO     | Main | line:188 | connection already established
2026-07-01 23:13:38,401 | INFO     | Main | line:179 | establishing connection
2026-07-01 23:13:38,401 | INFO     | Networks | line:278 | backend chat instance made
2026-07-01 23:13:38,446 | INFO     | Main | line:179 | establishing connection
2026-07-01 23:13:38,446 | INFO     | Main | line:125 | conversation pane created for Ujjwal
2026-07-01 23:13:38,455 | INFO     | Networks | line:278 | backend chat instance made
2026-07-01 23:28:04,221 | INFO     | Networks | line:95 | shutting broadcast
2026-07-01 23:28:04,221 | INFO     | Networks | line:137 | Closing listener
2026-07-01 23:28:04,222 | INFO     | Networks | line:313 | backend chat instance CLOSED
2026-07-01 23:28:04,222 | INFO     | Networks | line:368 | [Shutdown]: Background engine tasks canceled.
